kanji,heisigId,heisigKeyword,heisigCollisions,jpdbKeyword,jpdbCollisions
設,765,establishment,亭,set up,
撃,766,beat,,fire a gun,
殻,767,husk,,husk,
支,768,branch,枝,support,
技,769,skill,巧,skill,巧
枝,770,bough,,branch,支
肢,771,limb,,limb,
茎,772,stalk,,stem,
怪,773,suspicious,,suspicious,
軽,774,lightly,,lightweight,
叔,775,uncle,,uncle,
督,776,coach,,overseer,
寂,777,loneliness,,lonely,
淑,778,graceful,恩 婉,ladylike,
反,779,anti-,,be against,
坂,780,slope,,slope,
板,781,plank,,plank,
返,782,return,,return something,
販,783,marketing,市,make commercially available,
爪,784,claw,,claw,
妥,785,gentle,優,suitable,適
乳,786,milk,,milk,
浮,787,floating,,float,
淫,788,lewd,,lewd,
将,789,leader,,commander,戒 帥
奨,790,exhort,,encourage (someone to do something),
采,791,grab,掴,colorful dice,
採,792,pick,,collect,揖
菜,793,vegetable,,vegetable,
受,794,accept,,receive,享
授,795,impart,,to award,
愛,796,love,麗,love,麗
曖,797,unclear,,unclear,
払,798,pay,,pay,
広,799,wide,,wide,
勾,800,hooked,,flexed,
拡,801,broaden,,expand horizontally,
鉱,802,mineral,,ore,
弁,803,valve,,dialect,
雄,804,male,,stud (male animal),
台,805,pedestal,,pedestal,
怠,806,neglect,,idle,
治,807,reign,,rein in,
冶,808,metallurgy,,metallurgy,
始,809,commence,,begin,元
胎,810,womb,,womb,
窓,811,window,,window,
去,812,gone,,past,故 糊
法,813,method,,law,
会,814,meeting,,meeting,
至,815,climax,,apex,
室,816,room,,room,
到,817,arrival,,arrival,
致,818,doth,,politely do,
互,819,mutually,,mutual,
棄,820,abandon,,discard,捨
育,821,bring up,,nurture,
撤,822,remove,,withdraw,控
充,823,allot,,distribute,配
銃,824,gun,,gun,
硫,825,sulfur,,sulphur,
流,826,current,,current (in a fluid),
允,827,license,,license,
唆,828,tempt,,tempt,
出,829,exit,,exit,
山,830,mountain,,mountain,
拙,831,bungling,,unskillful,
岩,832,boulder,,boulder,
炭,833,charcoal,,charcoal,
岐,834,branch off,,branch off,
峠,835,mountain pass,,mountain pass,
崩,836,crumble,,crumble,
密,837,secrecy,,intimate,睦
蜜,838,honey,,honey,
嵐,839,storm,,storm,
崎,840,promontory,,Nagasaki peninsula,
崖,841,bluffs,,bluffs,
入,842,enter,,enter,
込,843,crowded,,crowded,
分,844,part,,part,
貧,845,poverty,,poor,
頒,846,partition,,partition,
公,847,public,,public,
松,848,pine tree,,pine tree,
翁,849,venerable old man,,venerable old man,
訟,850,sue,訴,lawsuit,
谷,851,valley,,valley,
浴,852,bathe,,bath,
容,853,contain,,contain,
溶,854,melt,,melt,
欲,855,longing,長 竪,desire,
裕,856,abundant,,abundant,
鉛,857,lead (metal),,lead (metal),
沿,858,run alongside,,run alongside,
賞,859,prize,,prize,
党,860,party,,political party,
堂,861,hall,,assembly hall,
常,862,usual,,usual,
裳,863,skirt,,skirt,
掌,864,manipulate,操,palm of a hand,
皮,865,pelt,,skin (of an animal or a plant),
波,866,waves,,a wave,
婆,867,old woman,,old woman,
披,868,expose,,unveil to an audience,
破,869,rend,,to tear,
被,870,incur,,be a target of,
残,871,remainder,,left behind,
殉,872,martyrdom,,martyrdom,
殊,873,particularly,,especially,
殖,874,augment,,reproduce and multiply,
列,875,file,,row,漕 並
裂,876,split,,split,
烈,877,ardent,,violent,激
死,878,death,,death,
葬,879,interment,,funeral,
瞬,880,wink,,blink,
耳,881,ear,,ear,
取,882,take,,take,
趣,883,gist,,preference,
最,884,utmost,,utmost,
撮,885,snapshot,,photograph,
恥,886,shame,,shame,
職,887,post,,being employed,
聖,888,holy,,holy,
敢,889,daring,冒,bold,赳
聴,890,listen,,actively listen,
懐,891,pocket,,pocket of nostalgia,
慢,892,ridicule,,arrogant,傲
漫,893,loose,,aimless,
買,894,buy,,buy,
置,895,placement,,put down,
罰,896,penalty,,penalty,
寧,897,rather,,better,
濁,898,voiced,声,muddy,
